JobTitle,Location,Industry,Employment Type,seniorityLevel,JobFunction,CompanyName,JobPostedon
Sub Category Lead [51962017],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,13-08-17
Rotating Equipment Engineer,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,25-08-17
Senior Planner [51959383],Erie; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Other,TechnipFMC,13-08-17
Field Development Engineer SURF,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,24-08-17
Service Technician,Waynesburg; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,8/9/17
Product Engineer,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,22-08-17
Project Planner IV,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,8/9/17
Lead Rotating Equipment Engineer,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,29-08-17
Inside Sales Representative CAN [51956926],Edmonton; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Sales. Business Development,TechnipFMC,13-08-17
Advanced Manufacturing Engineer,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,28-08-17
Tax Accountant [51967415],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Accounting/Auditing. Finance,TechnipFMC,13-08-17
Programmer,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,13-08-17
Buyer,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,13-08-17
Field Service Engineer,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,8/10/17
Tax Accountant [51967414],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Accounting/Auditing. Finance,TechnipFMC,13-08-17
Construction Specialist,Lake Charles; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Shop Service Technician,Balcones Heights; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,8/10/17
Operator II [51608217],Johnson; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Business Excellence Specialist [51959357],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,13-08-17
Flowback Operator II,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Flowback Operator II,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Maintenance Tech Weekend Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,8/11/17
ENGINEER PIPING,Rotterdam Area; Netherlands,Oil & Energy,Full-time,Mid-Senior level,Engineering,TechnipFMC,29-08-17
Warehouse Technician II [51963958],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Service Supervisor,Blairsville; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,13-08-17
Maintenance Tech Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,8/11/17
Service Technician II Red Deer,Red Deer; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,13-08-17
Service Technician III [51889771],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,13-08-17
WSP Service Technician I,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,31-08-17
WSP Service Technician I,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,31-08-17
Specialist HSE 2,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,29-08-17
PCC Systems Analyst NAM,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,29-08-17
Product Planner CAN [51953926],Edmonton; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Product Management. Marketing,TechnipFMC,13-08-17
Document Control Specialist,Lake Charles; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Administrative,TechnipFMC,24-08-17
Senior Service Technician,Waynesburg; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Engineering. Information Technology,TechnipFMC,8/8/17
EMS Project Coordinator,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Project Management. Information Technology,TechnipFMC,24-08-17
JR. ENGINEER PIPING MECHANICAL DISCIPLINE,Rotterdam Area; Netherlands,Oil & Energy,Full-time,Mid-Senior level,Engineering,TechnipFMC,29-08-17
Machinist Days Pumps,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,24-08-17
Superintendent Construction 2,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,29-08-17
Well Service Pump Technician,Blairsville; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,8/9/17
Scaffolding Specialist,Lake Charles; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Other,TechnipFMC,29-08-17
Service Technician II,Lafayette; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,29-08-17
Machinist WSP Weekend Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
Service Technician II [50549241],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,26-08-17
Sofware Developer Subsea Control Systems,Kongsberg; Buskerud; Norway,Construction. Oil & Energy. Information Technology and Services,Full-time,Associate,Manufacturing. Information Technology,TechnipFMC,29-08-17
Machinist Weekend Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
Superintendent Construction,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,29-08-17
Mechanical Engineer [51947210],El Macero; CA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,13-08-17
Finance Systems Analyst,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Finance. Sales,TechnipFMC,29-08-17
Werktuigbouwkundig Ingenieur,Zoetermeer; South Holland Province; Netherlands,Mechanical or Industrial Engineering. Machinery,Full-time,Entry level,Engineering. Project Management. Other,TechnipFMC,30-08-17
Completion Database Technician,Lake Charles; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,28-08-17
Shop Coordinator,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Other,TechnipFMC,28-08-17
Supervisor I [51442461],Red Deer; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Other,TechnipFMC,22-08-17
Material Specialist,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
Operator I [51441666],Johnson; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,28-08-17
Material Handler II,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,18-08-17
Supply Chain Systems Analyst,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,25-08-17
Software Engineer [51945663],El Macero; CA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,13-08-17
Program Manager Expert Services & Solutions,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Project Management. Information Technology,TechnipFMC,24-08-17
Cost Estimator,Boston; MA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,28-08-17
Integrated Pad Specialist [51973748],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Other,TechnipFMC,22-08-17
Asset Coordinator,Waynesburg; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Finance. Sales,TechnipFMC,22-08-17
Workshop Technician Lead III,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Engineering. Information Technology,TechnipFMC,22-08-17
Service Technician I [50946794],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,18-08-17
Sub Category Lead II [51971383],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,19-08-17
HSE Administrator Corporate [51969873],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,17-08-17
Quality Compliance Specialist I [51961870],Erie; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Finance. Sales,TechnipFMC,18-08-17
Frac Flowback Operator II,Minot; ND; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,17-08-17
Service Technician I [51167061],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,18-08-17
Software Quality Assurance Engineer,El Macero; CA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Quality Assurance,TechnipFMC,13-08-17
Tax Manager [51973421],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Accounting/Auditing. Finance,TechnipFMC,19-08-17
Buyer,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,13-08-17
Service Technician III [51849509],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,18-08-17
Machinist WSP Weekend Days,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
HSE Manager,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,17-08-17
Machinist Weekend Days Pumps,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,17-08-17
Master Service Technician,Blairsville; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,16-08-17
Operator III [51965022],Red Deer; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,16-08-17
Supervisor I [51559096],Johnson; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Other,TechnipFMC,26-08-17
Integrated Pad Specialist [51973722],Red Deer; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Other,TechnipFMC,22-08-17
SIS Regional Manager,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Sales. Business Development,TechnipFMC,22-08-17
Operator I [51441676],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,16-08-17
BUYER II [51973116],Erie; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,17-08-17
Deputy/Assistant Manager F&A AR,Delhi; IN,Information Technology and Services. Banking. Financial Services,Full-time,Entry level,Customer Service. Information Technology,TechnipFMC,8/3/17
Frac Flowback Night Supervisor II,Minot; ND; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,14-08-17
Senior Design Engineer [51965400],Erie; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Engineering. Information Technology,TechnipFMC,16-08-17
Manager Construction,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,25-08-17
Machinist Wellhead Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,17-08-17
Inventory Control Supervisor,Minot; ND; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,17-08-17
Assembler II,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,14-08-17
Project Manager [51965683],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Project Management. Information Technology,TechnipFMC,16-08-17
Manufacturing Engineer [51935397],Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,13-08-17
Deputy/Assistant Manager F&A AP,Delhi; IN,Information Technology and Services. Banking. Financial Services,Full-time,Associate,Accounting/Auditing. Finance,TechnipFMC,8/3/17
Engineer Remote Intervention Services RIS,Aberdeen; United Kingdom,Oil & Energy,Full-time,Mid-Senior level,Engineering,TechnipFMC,8/4/17
Senior Analyst Treasury,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Finance. Sales,TechnipFMC,25-08-17
Software Engineer [51950450],El Macero; CA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,13-08-17
Design Thinking Strategist,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Design. Art/Creative. Information Technology,TechnipFMC,16-08-17
Supervisor I [51442021],Johnson; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Other,TechnipFMC,15-08-17
Sub Category Lead II [51971381],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,16-08-17
IT Business Partner Subsea Projects [51965806],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Information Technology,TechnipFMC,15-08-17
Deputy/Assistant Manager F&A GL,Delhi; IN,Information Technology and Services. Banking. Financial Services,Full-time,Associate,Other,TechnipFMC,8/3/17
Inside Sales Representative CAN [51956925],Edmonton; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Sales. Business Development,TechnipFMC,13-08-17
Area Superintendent,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,24-08-17
Engineering Manager Surface Products,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Engineering. Information Technology,TechnipFMC,15-08-17
Field Sales [51961938],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Sales. Business Development,TechnipFMC,13-08-17
Manager/Joint Manager F&A AP,Delhi; IN,Information Technology and Services. Banking. Financial Services,Full-time,Mid-Senior level,Accounting/Auditing. Finance,TechnipFMC,8/3/17
Manager/Joint Manager F&A GLCA,Delhi; IN,Information Technology and Services. Banking. Financial Services,Full-time,Mid-Senior level,Other,TechnipFMC,8/3/17
Assembler II Contractor [51968875],Bonnyville; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,28-08-17
Asset Analyst,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Finance. Sales,TechnipFMC,30-08-17
Service Technician Instrumentation [51967427],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,28-08-17
Account Manager,Minot; ND; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Sales. Business Development,TechnipFMC,13-08-17
Operational Excellence Specialist [51950208],Erie; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Manufacturing Engineering Manager [51945287],El Macero; CA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Engineering. Information Technology,TechnipFMC,13-08-17
Assembler Lead,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Flowback Operator,Waynesburg; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Assembler II Contractor [51968876],Bonnyville; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,31-08-17
Supply Chain Analyst [51972962],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,25-08-17
Material Handler,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,15-08-17
Senior IT Analyst Enterprise Arch [51961912],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Information Technology,TechnipFMC,13-08-17
Assembler II [51167062],Clairmont; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Account Manager I,Oklahoma City; OK; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Sales. Business Development,TechnipFMC,28-08-17
Scheduler,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,28-08-17
Field Asset Supervisor,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,18-08-17
Asset Specialist,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Finance. Sales,TechnipFMC,31-08-17
Cost Controller III [51969611],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Director,Finance. Sales,TechnipFMC,29-08-17
ServiceTechnician,Lafayette; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,22-08-17
Senior Internal Auditor [51956884],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Accounting/Auditing. Finance,TechnipFMC,28-08-17
Service Technician III,Oklahoma City; OK; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,29-08-17
Accounting Lead,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Accounting/Auditing. Finance,TechnipFMC,30-08-17
HSE Coordinator/Administrator,Lake Charles; LA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,25-08-17
Electro/Hydraulic Technician Lead IV,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Engineering. Information Technology,TechnipFMC,26-08-17
Assembler,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,15-08-17
Frac Flowback Night Supervisor I,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,14-08-17
Construction Specialist,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,25-08-17
Integrated Pad Manager,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Other,TechnipFMC,30-08-17
Machinist WSP Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
IT Project Manager [51965758],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Project Management. Information Technology,TechnipFMC,22-08-17
HSE Documentation Specialist [51969555],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Administrative,TechnipFMC,22-08-17
Lead Service Technician,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Engineering. Information Technology,TechnipFMC,29-08-17
IT/IS Project Manager II [51962004],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Project Management. Information Technology,TechnipFMC,14-08-17
Cloud Security Architect [51959674],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Information Technology,TechnipFMC,15-08-17
Senior Manager CS Eng and Architecture [51968152],Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,28-08-17
Fluid Control Service Manager,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Customer Service. Information Technology,TechnipFMC,24-08-17
Service Coordinator,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Business Development. Sales,TechnipFMC,19-08-17
Senior Accountant,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Accounting/Auditing. Finance,TechnipFMC,24-08-17
HSE Supervisor [51962069],Edmonton; CA,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,18-08-17
Product Planner,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Product Management. Marketing,TechnipFMC,31-07-17
Master Service Technician,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,13-08-17
Account Manager,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Sales. Business Development,TechnipFMC,28-08-17
Program Manager Expert Services & Solutions,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Project Management. Information Technology,TechnipFMC,16-08-17
Service Technician,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,29-08-17
Master Service Technician,Brighton; CO; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,13-08-17
Service Technician,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,18-08-17
Cost Estimator,Boston; Massachusetts,Oil & Energy. Construction. Mechanical or Industrial Engineering,Full-time,Mid-Senior level,Project Management. Engineering,TechnipFMC,23-08-17
Material Specialist,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,23-08-17
WSP Service Technician I,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,31-08-17
WSP Service Technician I,Odessa; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,31-08-17
Shop Service Technician,Kilgore; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Shop Service Technician,Oklahoma City; OK; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Master Service Technician,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Management. Manufacturing,TechnipFMC,15-08-17
Shop Service Technician,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Superintendent Construction,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Mid-Senior level,Management. Manufacturing,TechnipFMC,29-08-17
Service Technician,Oklahoma City; OK; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,13-08-17
Sofware Developer Subsea Control Systems,Kongsberg; Buskerud; Norway,Construction. Oil & Energy. Information Technology and Services,Full-time,Associate,Manufacturing. Information Technology,TechnipFMC,29-08-17
Field Service Engineer,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Engineering. Information Technology,TechnipFMC,15-08-17
Buyer,Houston; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Associate,Purchasing. Supply Chain,TechnipFMC,30-08-17
Shop Coordinator,Boerne; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Other,TechnipFMC,22-08-17
Maintenance Tech Weekend Nights,Stephenville; TX; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Shop Service Technician,Oklahoma City; OK; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Shop Service Technician,Blairsville; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Management. Manufacturing,TechnipFMC,13-08-17
Service Technician,Muncy; PA; US,Construction. Mechanical or Industrial Engineering. Oil & Energy,Full-time,Entry level,Information Technology,TechnipFMC,13-08-17
